id,name,host_id,host_name,neighbourhood_group,neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
2595,Skylit Midtown Castle,2845,Jennifer,Manhattan,Midtown,Entire home/apt,225,1,45,0.38,355
3831,Cozy Entire Floor of Brownstone,4869,LisaRoxanne,Brooklyn,Clinton Hill,Entire home/apt,89,1,270,4.64,194
5099,Large Cozy 1 BR Apartment In Midtown East,7322,Chris,Manhattan,Murray Hill,Entire home/apt,200,3,74,0.59,129
5178,Large Furnished Room Near B'way ,8967,Shunichi,Manhattan,Hell's Kitchen,Private room,79,2,430,3.47,220
5203,Cozy Clean Guest Room - Family Apt,7490,MaryEllen,Manhattan,Upper West Side,Private room,79,2,118,0.99,0
5238,Cute & Cozy Lower East Side 1 bdrm,7549,Ben,Manhattan,Chinatown,Entire home/apt,150,1,160,1.33,188
5295,Beautiful 1br on Upper West Side,7702,Lena,Manhattan,Upper West Side,Entire home/apt,135,5,53,0.43,6
5441,Central Manhattan/near Broadway,7989,Kate,Manhattan,Hell's Kitchen,Private room,85,2,188,1.5,39
5803,"Lovely Room 1, Garden, Best Area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room,89,4,167,1.34,314
6021,Wonderful Guest Bedroom in Manhattan for SINGLES,11528,Claudio,Manhattan,Upper West Side,Private room,85,2,113,0.91,333
6848,Only 2 stops to Manhattan studio,15991,Allen & Irina,Brooklyn,Williamsburg,Entire home/apt,140,2,148,1.2,46
7097,Perfect for Your Parents + Garden,17571,Jane,Brooklyn,Fort Greene,Entire home/apt,215,2,198,1.72,321
7322,Chelsea Perfect,18946,Doti,Manhattan,Chelsea,Private room,140,1,260,2.12,12
7726,Hip Historic Brownstone Apartment with Backyard,20950,Adam And Charity,Brooklyn,Crown Heights,Entire home/apt,99,3,53,4.44,21
8024,CBG CtyBGd HelpsHaiti rm#1:1-4,22486,Lisel,Brooklyn,Park Slope,Private room,130,2,130,1.09,347
8025,CBG Helps Haiti Room#2.5,22486,Lisel,Brooklyn,Park Slope,Private room,80,1,39,0.37,364
8110,CBG Helps Haiti Rm #2,22486,Lisel,Brooklyn,Park Slope,Private room,110,2,71,0.61,304
8490,"MAISON DES SIRENES1,bohemian apartment",25183,Nathalie,Brooklyn,Bedford-Stuyvesant,Entire home/apt,120,2,88,0.73,233
8505,Sunny Bedroom Across Prospect Park,25326,Gregory,Brooklyn,Windsor Terrace,Private room,60,1,19,1.37,85
9357,Midtown Pied-a-terre,30193,Tommi,Manhattan,Hell's Kitchen,Entire home/apt,150,10,58,0.49,75
9518,"SPACIOUS, LOVELY FURNISHED MANHATTAN BEDROOM",31374,Shon,Manhattan,Inwood,Private room,44,3,108,1.11,311
9657,Modern 1 BR / NYC / EAST VILLAGE,21904,Dana,Manhattan,East Village,Entire home/apt,180,14,29,0.24,67
9668,front room/double bed,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,242,2.04,355
9704,Spacious 1 bedroom in luxe building,32045,Teri,Manhattan,Harlem,Private room,52,2,88,1.42,255
9782,Loft in Williamsburg Area w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,55,4,197,1.65,284
9783,back room/bunk beds,32294,Ssameer Or Trip,Manhattan,Harlem,Private room,50,3,273,2.37,359
10452,Large B&B Style rooms,35935,Angela,Brooklyn,Bedford-Stuyvesant,Private room,70,1,74,0.66,269
10962,"Lovely room 2 & garden; Best area, Legal rental",9744,Laurie,Brooklyn,South Slope,Private room,89,4,168,1.41,340
11708,Cute apt in artist's home,44145,Tyrome,Brooklyn,Bushwick,Entire home/apt,85,2,231,1.96,22
12048,LowerEastSide apt share shortterm 1,7549,Ben,Manhattan,Lower East Side,Shared room,40,1,214,1.81,188
12192,ENJOY Downtown NYC!,46978,Edward,Manhattan,East Village,Private room,68,2,245,2.08,96
12299,Beautiful Sunny Park Slope Brooklyn,47610,Abdul,Brooklyn,South Slope,Entire home/apt,120,3,15,0.39,345
12303,1bdr w private bath. in lofty apt,47618,Yolande,Brooklyn,Fort Greene,Private room,120,7,25,0.23,311
12318,West Side Retreat,16800,Cyn,Manhattan,Upper West Side,Private room,135,4,81,0.69,273
12343,BEST BET IN HARLEM,47727,Earl,Manhattan,Harlem,Entire home/apt,150,7,97,0.84,309
12937,"1 Stop fr. Manhattan! Private Suite,Landmark Block",50124,Orestes,Queens,Long Island City,Private room,130,3,248,2.25,215
12940,Charming Brownstone 3 - Near PRATT,50148,Adreinne,Brooklyn,Bedford-Stuyvesant,Entire home/apt,110,7,61,0.52,265
13050,bright and stylish duplex,50846,Jennifer,Brooklyn,Bedford-Stuyvesant,Entire home/apt,115,3,11,0.1,0
13394,Fort Greene brownstone ,52335,Alexander,Brooklyn,Fort Greene,Private room,80,3,135,1.16,192
13808,Blue Room for 2 in Brownstone for $1350 monthly,54275,JT And Tiziana,Brooklyn,Bedford-Stuyvesant,Private room,80,1,112,1.01,251
14287,Cozy 1BD on Central Park West in New York City,56094,Joya,Manhattan,Upper West Side,Entire home/apt,151,2,73,0.63,302
14290,* ORIGINAL BROOKLYN LOFT *,56104,James,Brooklyn,Williamsburg,Entire home/apt,228,3,82,0.7,140
14314,Greenpoint Place...Has It All! ,56246,Jeanne,Brooklyn,Greenpoint,Entire home/apt,144,2,328,2.82,234
14322,Beautiful Apartment in Manhattan!!!,56284,Francesca,Manhattan,Kips Bay,Entire home/apt,200,7,19,0.22,257
14991,"Great Location, Manhattan Bedroom!",59023,Bianca,Manhattan,Lower East Side,Private room,110,5,19,0.17,301
15220,Best Location in NYC! TIMES SQUARE!,59734,Luiz,Manhattan,Hell's Kitchen,Private room,69,2,289,2.49,294
15338,Room in Greenpoint Loft w/ Roof,32169,Andrea,Brooklyn,Greenpoint,Private room,49,4,138,1.19,320
15385,"Very, very cozy place",60252,Cristina,Brooklyn,Williamsburg,Private room,80,2,42,0.38,263
15711,2 bedroom - Upper East Side-great for kids,61491,D,Manhattan,Upper East Side,Entire home/apt,250,2,66,0.57,231
16338,Double Room w Private Deck Clinton Hill Best Area,63613,Patricia,Brooklyn,Clinton Hill,Private room,55,7,27,0.23,292
16580,"Sunny, Modern room in East Village!",64442,Reka,Manhattan,East Village,Private room,80,1,338,4.72,72
16595,*HAVEN LOFT - Entire Floor - Six Windows - Bricks*,64522,Daniel,Brooklyn,Williamsburg,Entire home/apt,275,1,148,1.4,362
16821,Large Room in Amazing East Village Apt,4396,Casey,Manhattan,East Village,Private room,99,1,106,1.26,336
16974,SpaHa Loft: Enormous and Bright,65837,Robin,Manhattan,East Harlem,Entire home/apt,225,4,190,1.64,215
17037,Lovely EV Artist's Home,66035,Anna,Manhattan,East Village,Entire home/apt,230,9,49,0.43,116
17092,Cool Room in Hell's Kitchen,66243,Enzo,Manhattan,Hell's Kitchen,Private room,51,7,23,0.43,88
17693,"HARLEM, NEW YORK WELCOMES YOU!!",68428,Tye And Etienne,Manhattan,Washington Heights,Private room,65,2,49,1.6,336
